Duration,Name,dataset,generations,max_conns,max_nodes,pop_size,seed,species_size,survival_threshold,elite_length,elite_rmse,elite_size,final_model_test_rmse,final_model_train_rmse,hidden_layers,iteration_time,test_rmse,train_rmse
8.7min,tensorneat:airfoil:seed-29,airfoil,1000,640,192,100,29,10,0.2,12,4.065600395202637,23,4.013261318206787,4.0655999183654785,12,0.4873802661895752,4.0845818519592285,4.0655999183654785
8.8min,tensorneat:airfoil:seed-28,airfoil,1000,640,192,100,28,10,0.2,13,4.807600021362305,21,4.92848014831543,4.8075995445251465,13,0.5007240772247314,4.92848014831543,4.8075995445251465
8.5min,tensorneat:airfoil:seed-27,airfoil,1000,640,192,100,27,10,0.2,11,4.872250556945801,17,4.946038722991943,4.872250080108643,11,0.492689847946167,5.020907402038574,4.872250080108643
8.2min,tensorneat:airfoil:seed-26,airfoil,1000,640,192,100,26,10,0.2,9,4.432080268859863,18,4.737000942230225,4.432080268859863,9,0.46666479110717773,4.737000942230225,4.432080268859863
8.2min,tensorneat:airfoil:seed-25,airfoil,1000,640,192,100,25,10,0.2,12,4.788140773773193,21,5.170586109161377,4.788140773773193,12,0.46720123291015625,5.197686195373535,4.788140773773193
7.9min,tensorneat:airfoil:seed-24,airfoil,1000,640,192,100,24,10,0.2,9,4.633746147155762,19,4.586668491363525,4.6337456703186035,9,0.47759556770324707,4.586668491363525,4.6337456703186035
2.2h,tensorneat:airfoil:seed-23,airfoil,1000,640,192,100,23,10,0.2,19,4.7911553382873535,34,4.852980613708496,4.791155815124512,19,0.5473320484161377,4.891722202301025,4.791155815124512
9.0min,tensorneat:airfoil:seed-22,airfoil,1000,640,192,100,22,10,0.2,8,4.754798412322998,17,4.799209117889404,4.754798889160156,8,0.4953577518463135,4.888314247131348,4.754798889160156
9.1min,tensorneat:airfoil:seed-21,airfoil,1000,640,192,100,21,10,0.2,8,4.754795074462891,14,4.716731548309326,4.754795074462891,8,0.5121641159057617,4.761730670928955,4.754795074462891
9.4min,tensorneat:airfoil:seed-20,airfoil,1000,640,192,100,20,10,0.2,14,4.7805070877075195,27,4.7992353439331055,4.7805070877075195,14,0.5354886054992676,4.801636695861816,4.7805070877075195
8.8min,tensorneat:airfoil:seed-19,airfoil,1000,640,192,100,19,10,0.2,6,4.80246639251709,16,4.8042144775390625,4.80246639251709,6,0.4927988052368164,4.8229265213012695,4.80246639251709
8.7min,tensorneat:airfoil:seed-18,airfoil,1000,640,192,100,18,10,0.2,5,4.791924953460693,12,4.835229873657227,4.791924953460693,5,0.48514246940612793,4.862212181091309,4.791924953460693
9.4min,tensorneat:airfoil:seed-17,airfoil,1000,640,192,100,17,10,0.2,9,4.762508869171143,17,5.233642101287842,4.762508392333984,9,0.5273392200469971,5.235659122467041,4.762508392333984
9.2min,tensorneat:airfoil:seed-16,airfoil,1000,640,192,100,16,10,0.2,12,4.957475662231445,19,5.143289089202881,4.957475662231445,12,0.5114190578460693,5.143289089202881,4.957475662231445
8.8min,tensorneat:airfoil:seed-15,airfoil,1000,640,192,100,15,10,0.2,5,4.787206649780273,17,4.878593444824219,4.787206172943115,5,0.4835076332092285,4.880539894104004,4.787206172943115
9.1min,tensorneat:airfoil:seed-14,airfoil,1000,640,192,100,14,10,0.2,12,4.737481117248535,25,4.809475898742676,4.737481117248535,12,0.5143156051635742,4.873605728149414,4.737481117248535
9.0min,tensorneat:airfoil:seed-13,airfoil,1000,640,192,100,13,10,0.2,9,4.5825300216674805,17,4.986695289611816,4.5825300216674805,9,0.516399621963501,5.011035442352295,4.5825300216674805
9.0min,tensorneat:airfoil:seed-12,airfoil,1000,640,192,100,12,10,0.2,10,4.768641948699951,20,5.248990058898926,4.768641948699951,10,0.5013449192047119,5.27846097946167,4.768641948699951
9.3min,tensorneat:airfoil:seed-11,airfoil,1000,640,192,100,11,10,0.2,16,4.544508457183838,25,4.8878173828125,4.544508457183838,16,0.5379638671875,4.8878173828125,4.544508457183838
8.5min,tensorneat:airfoil:seed-10,airfoil,1000,640,192,100,10,10,0.2,5,4.847001075744629,13,4.614612579345703,4.847001075744629,5,0.4691593647003174,4.647200584411621,4.847001075744629
8.9min,tensorneat:airfoil:seed-9,airfoil,1000,640,192,100,9,10,0.2,10,4.486772060394287,25,4.591335296630859,4.486772060394287,10,0.5000865459442139,4.6179656982421875,4.486772060394287
8.5min,tensorneat:airfoil:seed-8,airfoil,1000,640,192,100,8,10,0.2,7,4.714131832122803,15,4.795130252838135,4.7141313552856445,7,0.47093796730041504,4.874478340148926,4.7141313552856445
8.7min,tensorneat:airfoil:seed-7,airfoil,1000,640,192,100,7,10,0.2,9,4.807690143585205,18,4.8353776931762695,4.807690143585205,9,0.49213290214538574,4.8353776931762695,4.807690143585205
8.8min,tensorneat:airfoil:seed-6,airfoil,1000,640,192,100,6,10,0.2,11,4.339149475097656,18,4.428948402404785,4.339149475097656,11,0.49527812004089355,4.515679359436035,4.339149475097656
8.6min,tensorneat:airfoil:seed-5,airfoil,1000,640,192,100,5,10,0.2,10,4.823553085327148,20,5.2880377769470215,4.823552131652832,10,0.4839611053466797,5.2880377769470215,4.823552131652832
8.3min,tensorneat:airfoil:seed-4,airfoil,1000,640,192,100,4,10,0.2,8,4.851186275482178,16,4.587810039520264,4.8511857986450195,8,0.4791605472564697,4.6356353759765625,4.8511857986450195
8.5min,tensorneat:airfoil:seed-3,airfoil,1000,640,192,100,3,10,0.2,10,4.766246795654297,18,4.94276237487793,4.766246795654297,10,0.48023056983947754,5.011760234832764,4.766246795654297
8.5min,tensorneat:airfoil:seed-2,airfoil,1000,640,192,100,2,10,0.2,15,4.6185126304626465,23,4.556946754455566,4.6185126304626465,15,0.4980168342590332,4.556946754455566,4.6185126304626465
8.3min,tensorneat:airfoil:seed-1,airfoil,1000,640,192,100,1,10,0.2,14,4.8465704917907715,23,4.704638957977295,4.8465704917907715,14,0.48004150390625,4.704638957977295,4.8465704917907715
7.7min,tensorneat:airfoil:seed-0,airfoil,1000,640,192,100,0,10,0.2,9,4.660828590393066,18,4.717568874359131,4.660828113555908,9,0.4558069705963135,4.789205074310303,4.660828113555908
