Duration,Run ID,Name,compatibility_threshold,dataset,generations,max_conns,max_nodes,pop_size,seed,species_size,survival_threshold,elite_rmse,elite_size,final_model_test_rmse,final_model_train_rmse,iteration_time,test_rmse,train_rmse
7.8min,3e62b466552a4e3e9563954a27e9bd9a,tensorneat:bioav:seed-22,2.5,bioav,1000,241,242,100,22,10,0.2,61.60368347,221,73.42183685,61.60368729,0.4349429607,92.37947845,61.60368729
7.8min,7b048f0f665347f98f2d9ebcf6f5c087,tensorneat:bioav:seed-21,2.5,bioav,1000,241,242,100,21,10,0.2,62.38845062,216,71.43817902,62.38845062,0.4353439808,95.11765289,62.38845062
7.8min,6d29f4374fef4093848946973609d763,tensorneat:bioav:seed-20,2.5,bioav,1000,241,242,100,20,10,0.2,60.37306595,219,69.18038177,60.37306595,0.4353439808,133.7695618,60.37306595
7.8min,c6a6d0a225f941e8932a11bdbeb0287f,tensorneat:bioav:seed-19,2.5,bioav,1000,241,242,100,19,10,0.2,60.83658218,212,72.0351944,60.83658218,0.4294612408,103.5742569,60.83658218
7.8min,52ea90bc318041fbac9de6dbeda775b4,tensorneat:bioav:seed-18,2.5,bioav,1000,241,242,100,18,10,0.2,63.42277908,213,68.05699158,63.42277908,0.4265553951,87.762146,63.42277908
7.8min,e2ec11f272cd46219849895fbd1fb7d6,tensorneat:bioav:seed-17,2.5,bioav,1000,241,242,100,17,10,0.2,62.54078674,214,70.28192139,62.54079056,0.4324052334,93.19789886,62.54079056
7.6min,d56079d199844fa088590134190b1fc8,tensorneat:bioav:seed-16,2.5,bioav,1000,241,242,100,16,10,0.2,60.80767822,211,73.33538055,60.80768204,0.4213414192,98.57711029,60.80768204
7.6min,0f161eef253e415698a876a9aaf78c1a,tensorneat:bioav:seed-15,2.5,bioav,1000,241,242,100,15,10,0.2,58.85986328,205,77.76856232,58.8598671,0.4221577644,117.0286789,58.8598671
7.4min,b07eaca0164c477b87e657e30227e861,tensorneat:bioav:seed-14,2.5,bioav,1000,241,242,100,14,10,0.2,60.19116592,208,77.30614471,60.19116592,0.4200432301,132.2812805,60.19116592
7.4min,1066ff790d774575a6da59791fee5a69,tensorneat:bioav:seed-13,2.5,bioav,1000,241,242,100,13,10,0.2,62.53892136,215,68.73610687,62.53892517,0.4177267551,95.7297821,62.53892517
