Duration,Run ID,Name,compatibility_threshold,dataset,generations,max_conns,max_nodes,pop_size,seed,species_size,survival_threshold,elite_length,elite_rmse,elite_size,final_model_test_rmse,final_model_train_rmse,hidden_layers,iteration_time,test_rmse,train_rmse
9.4min,96224eb768a7420fa5b1348ed6c3bd7e,tensorneat:concrete_strength:seed-29,2.5,concrete_strength,1000,640,192,100,29,10,0.2,15,6.786597728729248,30,6.890225887298584,6.786597728729248,15,0.5150699615478516,7.059199333190918,6.786597728729248
9.3min,1b0d105040254539a0db1a6cdfbf3a19,tensorneat:concrete_strength:seed-28,2.5,concrete_strength,1000,640,192,100,28,10,0.2,14,6.763391971588135,30,6.870596408843994,6.763391971588135,14,0.5124118328094482,7.119328022003174,6.763391971588135
9.0min,cee8ab1b7fe447e7bb8f15ac6eb17b94,tensorneat:concrete_strength:seed-27,2.5,concrete_strength,1000,640,192,100,27,10,0.2,13,7.032411575317383,31,6.710449695587158,7.032411098480225,13,0.5107672214508057,6.942312240600586,7.032411098480225
9.1min,721b85302879440a85fb5e773e226839,tensorneat:concrete_strength:seed-26,2.5,concrete_strength,1000,640,192,100,26,10,0.2,12,6.816667079925537,26,6.448057651519775,6.8166680335998535,12,0.5024881362915039,6.50429105758667,6.8166680335998535
8.9min,9f7ee07fefca48b493bccb7e21af57d5,tensorneat:concrete_strength:seed-25,2.5,concrete_strength,1000,640,192,100,25,10,0.2,11,6.914213180541992,25,6.987204551696777,6.914213180541992,11,0.4951443672180176,6.987204551696777,6.914213180541992
9.0min,0bea62537039490383ab57bd6477b51f,tensorneat:concrete_strength:seed-24,2.5,concrete_strength,1000,640,192,100,24,10,0.2,13,7.089451789855957,24,7.044204235076904,7.089452266693115,13,0.5056452751159668,7.212767124176025,7.089452266693115
9.1min,4c3f87b864e046fd8c5b59f2267c86ba,tensorneat:concrete_strength:seed-23,2.5,concrete_strength,1000,640,192,100,23,10,0.2,13,6.9320244789123535,28,7.054959774017334,6.9320244789123535,13,0.5117275714874268,7.054959774017334,6.9320244789123535
9.1min,b92493fe43b34f9da98e621a61a4cfa9,tensorneat:concrete_strength:seed-22,2.5,concrete_strength,1000,640,192,100,22,10,0.2,13,6.886758804321289,26,7.032507419586182,6.886758804321289,13,0.5067813396453857,7.114863395690918,6.886758804321289
9.4min,b9a0df0ddbb04a52989bd608e0def71b,tensorneat:concrete_strength:seed-21,2.5,concrete_strength,1000,640,192,100,21,10,0.2,19,6.7920732498168945,31,6.966432571411133,6.7920732498168945,19,0.5352089405059814,6.966432571411133,6.7920732498168945
8.8min,249d7bef159f43ee95cfb44d63ed50af,tensorneat:concrete_strength:seed-20,2.5,concrete_strength,1000,640,192,100,20,10,0.2,10,6.7221174240112305,22,7.075388431549072,6.7221174240112305,10,0.48850369453430176,7.120856285095215,6.7221174240112305
9.2min,09e8559288034cafa65b12c79cf625ed,tensorneat:concrete_strength:seed-19,2.5,concrete_strength,1000,640,192,100,19,10,0.2,17,9.792893409729004,36,10.056472778320312,9.79289436340332,17,0.5419716835021973,10.115081787109375,9.79289436340332
8.7min,a4c8a48cff6b4ed4a5366261af8f83ee,tensorneat:concrete_strength:seed-18,2.5,concrete_strength,1000,640,192,100,18,10,0.2,6,6.409997463226318,21,6.692338466644287,6.409997463226318,6,0.49285888671875,6.943062782287598,6.409997463226318
