Name,dataset,max_conns,max_nodes,seed,elite_length,elite_size,test_rmse,train_rmse
tensorneat:ld50:seed-9,ld50,626,627,9,20,595,2925.245361,2467.555176
tensorneat:ld50:seed-8,ld50,626,627,8,23,593,2546.804932,2573.716797
tensorneat:ld50:seed-7,ld50,626,627,7,29,586,2536.796143,2584.521973
tensorneat:ld50:seed-6,ld50,626,627,6,20,594,2352.584473,2611.055908
tensorneat:ld50:seed-5,ld50,626,627,5,24,591,3010.414307,2446.13623
tensorneat:ld50:seed-4,ld50,626,627,4,28,597,2800.100342,2506.089844
tensorneat:ld50:seed-3,ld50,626,627,3,28,597,2589.875,2560.783691
tensorneat:ld50:seed-29,ld50,626,627,29,28,587,2846.158691,2493.307129
tensorneat:ld50:seed-28,ld50,626,627,28,25,587,2328.428467,2619.846924
tensorneat:ld50:seed-27,ld50,626,627,27,30,588,3139.745117,2412.866699
tensorneat:ld50:seed-26,ld50,626,627,26,28,591,2478.405762,2588.172363
tensorneat:ld50:seed-25,ld50,626,627,25,29,591,2180.819092,2652.731934
tensorneat:ld50:seed-24,ld50,626,627,24,21,583,2399.331299,2600.500732
tensorneat:ld50:seed-23,ld50,626,627,23,25,593,2699.446533,2529.360107
tensorneat:ld50:seed-22,ld50,626,627,22,25,604,2851.127441,2490.855225
tensorneat:ld50:seed-21,ld50,626,627,21,29,584,2625.072998,2551.611328
tensorneat:ld50:seed-20,ld50,626,627,20,21,582,2790.616699,2506.847412
tensorneat:ld50:seed-2,ld50,626,627,2,23,597,2041.548462,2671.759277
tensorneat:ld50:seed-19,ld50,626,627,19,23,596,2049.54248,2673.502197
tensorneat:ld50:seed-18,ld50,626,627,18,25,592,2399.662109,2611.314697
tensorneat:ld50:seed-17,ld50,626,627,17,26,593,1872.336304,2702.613281
tensorneat:ld50:seed-16,ld50,626,627,16,30,595,2931.274902,2466.755371
tensorneat:ld50:seed-15,ld50,626,627,15,29,590,2754.632813,2514.926025
tensorneat:ld50:seed-14,ld50,626,627,14,27,593,2683.147217,2532.633301
tensorneat:ld50:seed-13,ld50,626,627,13,23,589,2613.806396,2553.318359
tensorneat:ld50:seed-12,ld50,626,627,12,22,597,2695.516602,2538.11377
tensorneat:ld50:seed-11,ld50,626,627,11,20,595,3174.320557,2398.082764
tensorneat:ld50:seed-1,ld50,626,627,1,30,597,2482.51416,2580.950195
tensorneat:ld50:seed-0,ld50,626,627,0,20,588,2536.552979,2570.022949
