NEVO-GSPT	TNEAT	SLM
1944	3952	16640
1840	3536	18076
1948	4752	16640
2156	5275	18076
1695	3280	15236
2044	4515	15236
2044	4992	16640
1900	5125	16640
1984	2954	19544
1641	4922	18076
2176	3834	12524
2116	4452	16640
2004	2365	13864
2100	2190	13864
1916	5256	15236
2096	2808	18076
1788	2808	19544
1984	3757	12524
1968	5083	15236
1856	2409	13864
1749	2982	18076
1701	5256	18076
1848	2030	15236
2108	4280	16640
1984	3708	13864
1976	3816	15236
1852	4876	16640
2212	3094	12524
2072	2808	16640
2116	3757	15236
