NEVO-GSPT	TNEAT	SLM
2188	450.0	3612
2008	420.0	4524
2216	403.0	4524
2152	312.0	4052
1904	275.0	4052
2312	312.0	3612
2024	364.0	4524
1980	338.0	5028
2152	589.0	4524
1720	220.0	4524
2148	612.0	3204
2136	126.0	3612
2228	392.0	5028
2280	264.0	3612
2188	455.0	3204
2000	374.0	4052
1896	375.0	4524
2088	286.0	4052
1916	325.0	5564
2056	378.0	5564
1936	330.0	2828
2072	595.0	4524
1848	336.0	3612
2056	1440.0	4524
1896	288.0	3204
2204	720.0	3204
2256	264.0	4524
2156	496.0	3612
2252	336.0	5028
1944	450.0	4052
