NEVO-GSPT	TNEAT	SLM
3492	11900	33716
2992	13639	42656
3268	16994	36660
3180	11880	30804
3400	14184	33716
3276	16716	36660
3260	16716	39636
3272	16436	45684
3376	14675	33716
3268	17640	48756
3360	16548	39636
3024	17139	45684
3152	12243	42644
3112	14825	36660
3240	15100	42644
3340	16936	33716
3148	12222	36660
3236	13731	30804
2960	13708	42644
3168	14800	30804
2571	15418	33716
3124	17850	36660
3376	17110	33716
3048	16011	33716
3116	13547	45684
2928	13134	33716
3208	11900	39636
3336	17910	39636
3224	11760	36660
3328	11900	27924
